Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,tags,geo,source
791653,"March 7, 2017",Illinois,Urbana,1800 block of Oliver Dr,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1308', ' -88.1921']",http://www.news-gazette.com/news/local/2017-03-10/urbana-parolee-facing-drug-gun-charges.html
772265,"February 11, 2017",Illinois,Urbana,1000 block of Austin Dr,0,1,['Shot - Wounded/Injured'],"['40.1033', ' -88.1875']",http://www.news-gazette.com/news/local/2017-02-15/update-rantoul-teen-arrested-weekend-shooting-urbana.html
772421,"February 9, 2017",Illinois,Urbana,300 block of Scottswood Dr,0,0,"['Shots Fired - No Injuries', 'Domestic Violence']","['40.1101', ' -88.1736']",http://www.news-gazette.com/news/local/2017-02-11/rantoul-man-jailed-after-shooting-urbana.html
975029,"January 31, 2017",Illinois,Urbana,205 W Oregon St,0,0,"['Non-Shooting Incident', 'Domestic Violence', 'Possession of gun by felon or prohibited person']","['40.1073', ' -88.2095']",http://www.news-gazette.com/news/local/2017-10-28/prison-urbana-man-with-loaded-gun.html
995566,"January 27, 2017",Illinois,Champaign,102 N Neil St,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Criminal act with stolen gun', 'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1164', ' -88.2434']",http://www.news-gazette.com/news/local/2017-11-20/champaign-man-gets-4-years-weed-deal-robbery-having-stolen-guns.html
782261,"January 17, 2017",Illinois,Champaign,1000 block of Austin Dr,0,0,"['Non-Shooting Incident', 'Possession of gun by felon or prohibited person']","['40.1033', ' -88.1875']",http://www.news-gazette.com/news/local/2017-02-24/urbana-felon-who-had-gun-sentenced-prison.html
742615,"January 3, 2017",Illinois,Champaign,5600 block of North Lincoln Avenue,1,0,"['Shot - Dead (murder, accidental, suicide)']","['40.1646', ' -88.2106']",http://www.illinoishomepage.net/news/local-news/body-found-tuesday-morning/635449102
739589,"December 31, 2016",Illinois,Urbana,142 Lincoln Square,0,0,"['Shots Fired - No Injuries', 'Bar/club incident - in or around establishment']","['40.1113', ' -88.2072']",http://www.wandtv.com/story/34159639/bar-shut-down-after-reports-of-gunfire
933448,"December 20, 2016",Illinois,Urbana,1200 block of W Beslin St,0,0,"['Non-Shooting Incident', 'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1203', ' -88.2272']",http://www.news-gazette.com/news/local/2017-09-14/urbana-man-gets-45-years-after-admitting-home-break-having-gun.html
738061,"December 16, 2016",Illinois,Champaign,1400 block of West Anthony Drive,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Possession of gun by felon or prohibited person']","['40.1381', ' -88.2702']",http://www.news-gazette.com/news/local/2016-12-30/parole-violations-sending-18-year-old-adult-prison.html
1058099,"December 14, 2016",Illinois,Champaign,312 S Neil St,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Criminal act with stolen gun', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1129', ' -88.2431']",http://www.wandtv.com/story/37594712/champaign-man-gets-35-years-for-trafficking-and-gun-charges
726853,"December 14, 2016",Illinois,Champaign,500 block of North James Street,0,1,"['Shot - Wounded/Injured', 'Domestic Violence', 'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)']","['40.1203', ' -88.265']",http://www.news-gazette.com/news/local/2016-12-15/man-custody-after-wife-shot-west-champaign-home.html
721418,"December 7, 2016",Illinois,Urbana,900 block of North Division Street,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1212', ' -88.2053']",http://www.news-gazette.com/news/local/2016-12-08/urbana-man-faces-drug-weapon-charges.html
712210,"November 26, 2016",Illinois,Urbana,700 block of East University,1,0,"['Shot - Dead (murder, accidental, suicide)']","['40.1164', ' -88.2005']",http://www.illinoishomepage.net/news/local-news/fugitive-murder-suspect-apprehended/639751634
702770,"November 16, 2016",Illinois,Urbana,202 East University Avenue,2,0,"['Shot - Dead (murder, accidental, suicide)', 'Suicide^', 'Murder/Suicide', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person']","['40.1164', ' -88.2062']",/incident/702775
702775,"November 15, 2016",Illinois,Champaign,312 S Neil St,0,0,"['Non-Shooting Incident', 'Home Invasion', 'Home Invasion - No death or injury', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person']","['40.1129', ' -88.2431']",/incident/702770
698496,"November 10, 2016",Illinois,Urbana,1200 block of South Lierman Avenue,1,0,"['Shot - Dead (murder, accidental, suicide)']","['40.103', ' -88.1884']",http://www.news-gazette.com/news/local/2016-11-11/fatal-shooting-east-urbana.html
693900,"November 4, 2016",Illinois,Champaign,300 block of North Third Street,0,3,"['Shot - Wounded/Injured', 'House party / Block Party / Park Party', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person']","['40.1132', ' -88.0405']",http://www.news-gazette.com/news/local/2017-08-01/urbana-man-gets-14-years-violating-probation-drug-case.html
692221,"November 3, 2016",Illinois,Champaign,100 block of East Green Street,0,2,"['Shot - Wounded/Injured', 'Domestic Violence']","['40.1102', ' -88.2387']",http://www.illinoishomepage.net/news/local-news/police-investigate-shooting-near-u-of-i
690364,"November 1, 2016",Illinois,Urbana,200 block of South Grove Street,0,2,"['Shot - Wounded/Injured', 'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person']","['40.1117', ' -88.2014']",http://www.news-gazette.com/news/local/2016-11-02/urbana-brothers-c-u-fresh-start-candidates-charged-gun-crimes.html
689669,"October 29, 2016",Illinois,Champaign,700 block of N Neil St,0,1,"['Shot - Wounded/Injured', 'Shootout (where VENN diagram of shooters and victims overlap)', 'Possession of gun by felon or prohibited person', 'Brandishing/flourishing/open carry/lost/found']","['40.1229', ' -88.2434']",http://www.news-gazette.com/news/local/2017-08-29/urbana-man-gets-18-months-firing-gun-car.html
688507,"October 29, 2016",Illinois,Urbana,1100 block of South Lierman Avenue,0,1,['Shot - Wounded/Injured'],"['40.1038', ' -88.1886']",http://www.wandtv.com/story/33515708/23-year-old-in-critical-condition-after-overnight-shooting
685490,"October 25, 2016",Illinois,Urbana,2000 block of Vawter Street,0,1,['Shot - Wounded/Injured'],"['40.0907', ' -88.1918']",http://www.news-gazette.com/news/local/2017-02-02/man-wanted-october-shooting-urbana-arrested.html
687153,"October 24, 2016",Illinois,Champaign,1500 block of North McKinley Avenue,0,0,"['Non-Shooting Incident', 'Home Invasion', 'Home Invasion - No death or injury']","['40.1312', ' -88.2627']",http://www.news-gazette.com/news/local/2016-10-27/3-men-sought-after-champaign-home-invasion.html
685504,"October 23, 2016",Illinois,Urbana,1300 block of Ivanhoe Way,0,0,['Shots Fired - No Injuries'],"['40.103', ' -88.1898']",http://www.illinoishomepage.net/news/local-news/police-investigate-neighborhood-shooting
681258,"October 20, 2016",Illinois,Champaign,2000 block of Moreland Boulevard,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1401', ' -88.2508']",http://www.news-gazette.com/news/local/2016-10-21/heroin-gun-lead-champaign-mans-arrest.html
680576,"October 20, 2016",Illinois,Urbana,2000 block of Vawter Street,0,0,['Shots Fired - No Injuries'],"['40.0907', ' -88.1918']",http://www.illinoishomepage.net/news/local-news/felon-with-weapon-wanted-in-shooting
676880,"October 15, 2016",Illinois,Urbana,Silver St. and Vawter St.,0,0,['Shots Fired - No Injuries'],"['40.0915', ' -88.1918']",http://www.illinoishomepage.net/news/local-news/shots-fired-in-broad-daylight
678133,"October 13, 2016",Illinois,Champaign,500 block of West Beardsley Avenue,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Drug involvement', 'Possession of gun by felon or prohibited person']","['40.1264', ' -88.2502']",http://www.news-gazette.com/news/local/2016-10-17/champaign-man-out-bond-facing-new-charges.html
664399,"September 25, 2016",Illinois,Champaign,700 S. State Street,0,1,['Shot - Wounded/Injured'],"['40.109', ' -88.2467']",https://www.news-gazette.com/news/spilled-drink-triggered-campustown-shooting/article_5ff071d1-5c51-5c73-8708-c436c94cfc22.html
662548,"September 25, 2016",Illinois,Champaign,300 block of E. Green St,1,3,"['Shot - Wounded/Injured', 'Shot - Dead (murder, accidental, suicide)', 'Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)', 'House party / Block Party / Park Party', 'Possession of gun by felon or prohibited person']","['40.1102', ' -88.2354']",http://www.wrex.com/story/37073252/2017/12/14/man-sentenced-in-fatal-shooting-near-university-of-illinois
657627,"September 14, 2016",Illinois,Urbana,2000 block of Vawter St,0,0,['Shots Fired - No Injuries'],"['40.0907', ' -88.1918']",http://www.news-gazette.com/news/local/2016-09-15/urbana-teen-charged-early-tuesday-shooting.html
613689,"July 26, 2016",Illinois,Urbana,64 Michelle Lane,0,0,"['Shots Fired - No Injuries', 'Officer Involved Incident', 'Officer Involved Shooting - Shots fired, no injury', 'Armed robbery with injury/death and/or evidence of DGU found']","['40.1155', ' -88.1815']",http://www.wandtv.com/story/35299081/urbana-man-gets-90-year-sentence-for-holdup-gunplay
610392,"July 23, 2016",Illinois,Champaign,100 block of East Hill Street,0,1,['Shot - Wounded/Injured'],"['40.1193', ' -88.2387']",http://www.illinoishomepage.net/news/local-news/man-shot-in-champaign
609961,"July 20, 2016",Illinois,Champaign,2400 block of Fields South Drive,1,0,"['Shot - Dead (murder, accidental, suicide)', 'Suicide^']","['40.0834', ' -88.3081']",http://www.news-gazette.com/news/local/2016-07-21/man-molestation-case-found-dead-home-after-court-appearance.html
605296,"July 17, 2016",Illinois,Champaign,600 block of East Daniel Street,0,0,"['Shots Fired - No Injuries', 'School Incident']","['40.108', ' -88.2303']",http://www.news-gazette.com/news/local/2016-07-17/ui-police-investigate-shot-fired-campus.html
607199,"July 15, 2016",Illinois,Urbana,1100 block of Kerr Drive,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1221', ' -88.1957']",http://www.news-gazette.com/news/local/2016-07-18/urbana-man-faces-gun-drug-charges.html
599864,"July 10, 2016",Illinois,Champaign,600 block of East Beardsley Avenue,0,0,['Shots Fired - No Injuries'],"['40.1263', ' -88.2305']",http://www.news-gazette.com/news/local/2016-07-10/police-investigate-shots-fired-champaign.html
596694,"July 5, 2016",Illinois,Champaign,Fourth Street and Springfield Avenue,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1127', ' -88.2336']",http://www.news-gazette.com/news/local/2016-07-06/3-arrested-2-weapons-charges-after-ui-police-traffic-stop.html
596653,"July 4, 2016",Illinois,Champaign,1700 block of West William Street,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person']","['40.1068', ' -88.2754']",http://www.news-gazette.com/news/local/2016-07-06/parolees-arrested-early-morning-incident.html
594816,"July 3, 2016",Illinois,Champaign,1100 block of N. Sixth St.,0,1,['Shot - Wounded/Injured'],"['40.1263', ' -88.2305']",http://www.illinoishomepage.net/news/local-news/shooting-details-still-unknown
590946,"June 28, 2016",Illinois,Champaign,400 block of East Bradley Avenue,0,1,['Shot - Wounded/Injured'],"['40.1273', ' -88.2336']",http://www.news-gazette.com/news/local/2016-06-28/man-wounded-champaign-shooting-early-tuesday.html
649892,"June 27, 2016",Illinois,Champaign,701 N Neil St,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Possession (gun(s) found during commission of other crimes)']","['40.1221', ' -88.2436']",http://www.news-gazette.com/news/local/2016-09-06/man-who-admitted-carrying-loaded-gun-gets-prison.html
591706,"June 27, 2016",Illinois,Urbana,2000 block of Vawter,0,1,['Shot - Wounded/Injured'],"['40.0933', ' -88.1918']",/incident/433437
578178,"June 12, 2016",Illinois,Urbana,700 block of East Oregon,1,0,"['Shot - Dead (murder, accidental, suicide)', 'Domestic Violence']","['40.1077', ' -88.2002']",http://www.illinoishomepage.net/news/local-news/police-father-admits-killing-son/480764587
579802,"June 12, 2016",Illinois,Champaign,McKinley Avenue and Francis Drive,1,0,"['Shot - Dead (murder, accidental, suicide)', 'Drive-by (car to street, car to car)']","['40.131', ' -88.2627']",/incident/796940
577948,"June 10, 2016",Illinois,Champaign,1500 block of Holly Hill Drive,0,1,"['Shot - Wounded/Injured', 'Domestic Violence']","['40.1306', ' -88.2699']",http://www.illinoishomepage.net/news/local-news/woman-shot
573755,"June 6, 2016",Illinois,Urbana,1414 Triumph Drive,1,0,"['Shot - Dead (murder, accidental, suicide)', 'Suicide^']","['40.1485', ' -88.1885']",http://www.news-gazette.com/news/local/2016-06-06/update-champaign-man-died-self-inflicted-gunshot-wound-shooting-range.html
572306,"June 3, 2016",Illinois,Urbana,2300 block of East Main Street,0,1,"['Shot - Wounded/Injured', 'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person']","['40.113', ' -88.1785']",http://www.news-gazette.com/news/local/2016-06-04/man-shot-dispute-east-urbana.html
572312,"May 28, 2016",Illinois,Champaign,Gates Place and Edgebrook Drive,0,0,['Shots Fired - No Injuries'],"['40.1314', ' -88.2478']",http://www.news-gazette.com/news/local/2016-05-28/shots-fired-north-champaign-early-saturday.html
572311,"May 26, 2016",Illinois,Champaign,400 block of Briar Lane,0,0,['Shots Fired - No Injuries'],"['40.1328', ' -88.2487']",http://www.news-gazette.com/news/local/2016-05-28/shots-fired-north-champaign-early-saturday.html
